DateID,Month,Year,Quarter
418,3,1990,1
419,2,1990,1
420,1,1990,1
421,12,1989,4
422,11,1989,4
423,10,1989,4
424,9,1989,3
425,8,1989,3
426,7,1989,3
427,6,1989,2
428,5,1989,2
429,4,1989,2
430,3,1989,1
431,2,1989,1
432,1,1989,1
